district_name,district_key,population_total,population_density_km2,housing_total,housing_per_1000_residents,green_area_ha,green_area_per_10000,income_per_person,household_income,unemployment_total,unemployment_rate,vulnerability_index,vulnerability_employment,grid_cell_count,grid_height_mean_avg,grid_height_max_avg,grid_pt_stop_count_avg,grid_pt_access_good_share,grid_green_like_share,grid_residential_share,grid_industrial_share,grid_dense_urban_share,grid_typology_entropy,data_coverage_score,anomaly_score,anomaly_flag,anomaly_top_features,dominant_cluster_label,cluster_share_cluster_0,cluster_share_cluster_1,cluster_share_cluster_2,cluster_share_cluster_3,cluster_share_cluster_4
Centro,centro,145411,16093.0,428.0,2.94,30.44996882,2.094062266,22073.0,41059.0,6048.0,5.34,5.659905428,8.146911416,81.0,19.166949059106553,37.26923076923077,6.3580246913580245,0.6419753086419753,0.09876543209876543,0.5432098765432098,0.18518518518518517,0.5432098765432098,,1.0,0.9985819665901386,False,"['cluster_share_cluster_3', 'grid_dense_urban_share', 'population_density_km2']",cluster_1,0.01282051282051282,0.5,0.2948717948717949,0.19230769230769232,0.0
Arganzuela,arganzuela,156559,14027.0,155.0,0.99,90.30312065,5.767992939,22728.0,49236.0,5509.0,5.11,3.994990639,5.503096367,106.0,19.54525475580136,35.53465346534654,5.933962264150943,0.5377358490566038,0.1320754716981132,0.4056603773584906,0.22641509433962265,0.4056603773584906,,1.0,1.0029567614963661,False,"['cluster_share_cluster_3', 'grid_height_mean_avg', 'cluster_share_cluster_0']",cluster_1,0.019801980198019802,0.46534653465346537,0.3564356435643564,0.15841584158415842,0.0
Retiro,retiro,119757,12672.0,21.0,0.18,36.70553346,3.065001082,26905.0,60762.0,3019.0,4.07,3.766466991,4.822311678,86.0,20.52633493524386,39.5125,4.255813953488372,0.5,0.3023255813953488,0.313953488372093,0.11627906976744186,0.313953488372093,,1.0,1.0017444991580902,False,"['cluster_share_cluster_2', 'grid_height_mean_avg', 'vulnerability_index']",cluster_2,0.075,0.25,0.575,0.1,0.0
Salamanca,salamanca,149778,16038.0,2.0,0.01,35.72110745,2.38493687,29687.0,64925.0,3773.0,3.78,4.285622522,5.131533196,86.0,21.367094638673652,39.895348837209305,6.127906976744186,0.6627906976744186,0.023255813953488372,0.6162790697674418,0.09302325581395349,0.6162790697674418,,1.0,0.9916275855589693,False,"['cluster_share_cluster_2', 'grid_dense_urban_share', 'grid_height_mean_avg']",cluster_2,0.023255813953488372,0.2441860465116279,0.6162790697674418,0.11627906976744186,0.0
Chamartín,chamartín,148111,9323.0,,,56.09418103,3.787306887,32019.0,74842.0,3835.0,4.05,3.993115849,4.599711715,146.0,17.199667219843896,40.50684931506849,5.2534246575342465,0.6027397260273972,0.0410958904109589,0.3493150684931507,0.10273972602739725,0.3493150684931507,,0.857,0.9975383907427855,False,"['household_income', 'cluster_share_cluster_4', 'income_per_person']",cluster_1,0.1506849315068493,0.4246575342465753,0.3356164383561644,0.0821917808219178,0.00684931506849315
Tetuán,tetuán,166211,17889.0,,,63.09533211,3.79609846,19192.0,42465.0,6343.0,5.29,4.806537994,8.150334285,87.0,18.57199141617489,45.35294117647059,5.045977011494253,0.6091954022988506,0.09195402298850575,0.5632183908045977,0.04597701149425287,0.5632183908045977,,0.857,0.99729762678607,False,"['cluster_share_cluster_4', 'population_density_km2', 'grid_dense_urban_share']",cluster_1,0.08235294117647059,0.5058823529411764,0.3176470588235294,0.08235294117647059,0.011764705882352941
Chamberí,chamberí,141984,17552.0,,,9.994497702,0.703917181,29126.0,60032.0,3836.0,4.02,5.534217237,4.875443201,75.0,22.79408611154859,42.0,6.133333333333334,0.68,0.0,0.6,0.17333333333333334,0.6,,0.857,0.9893038514801983,False,"['cluster_share_cluster_2', 'grid_height_mean_avg', 'grid_dense_urban_share']",cluster_2,0.013333333333333334,0.14666666666666667,0.7066666666666667,0.13333333333333333,0.0
Fuencarral - El Pardo,fuencarralelpardo,253898,616.0,23.0,0.09,374.5002142,14.75002616,23338.0,58214.0,7256.0,4.54,3.791354917,5.419264,,,,,,,,,,,0.714,1.0058401648886401,False,"['cluster_share_cluster_1', 'population_density_km2', 'vulnerability_index']",,0.0,0.0,0.0,0.0,0.0
Moncloa - Aravaca,moncloaaravaca,125223,1553.0,,,189.1038416,15.10136649,27768.0,68238.0,3397.0,4.13,3.728253633,5.241750514,,,,,,,,,,,0.571,1.0027951229170804,False,"['cluster_share_cluster_1', 'household_income', 'vulnerability_index']",,0.0,0.0,0.0,0.0,0.0
Latina,latina,250396,5717.0,221.0,0.88,260.8854388,10.41891399,15089.0,35669.0,11273.0,6.73,4.864481862,9.069398814,409.0,11.993258592785685,25.414545454545454,1.938875305623472,0.2713936430317848,0.37163814180929094,0.14180929095354522,0.097799511002445,0.14180929095354522,,1.0,1.0011569828781446,False,"['grid_green_like_share', 'household_income', 'grid_height_mean_avg']",cluster_1,0.39636363636363636,0.48363636363636364,0.08727272727272728,0.03272727272727273,0.0
Carabanchel,carabanchel,274406,11310.0,746.0,2.72,255.7571959,9.320393721,13449.0,33786.0,13502.0,6.9,5.414131739,10.6795205,223.0,12.293297256126278,25.653465346534652,3.0538116591928253,0.47533632286995514,0.2914798206278027,0.36771300448430494,0.13901345291479822,0.36771300448430494,,1.0,1.0042254054635733,False,"['cluster_share_cluster_1', 'vulnerability_employment', 'income_per_person']",cluster_1,0.31683168316831684,0.5841584158415841,0.06930693069306931,0.0297029702970297,0.0
Usera,usera,149113,11112.0,367.0,2.46,167.8026791,11.25339032,12116.0,31996.0,8190.0,7.49,5.756080339,11.93577364,125.0,13.965842521463466,30.716666666666665,3.6,0.504,0.232,0.232,0.112,0.232,,1.0,1.003812527739939,False,"['vulnerability_employment', 'unemployment_rate', 'income_per_person']",cluster_1,0.175,0.6083333333333333,0.18333333333333332,0.03333333333333333,0.0
