district_name,district_key,cluster_shares,dominant_cluster_label
Arganzuela,arganzuela,"{'cluster_0': 0.7524752475247525, 'cluster_1': 0.1782178217821782, 'cluster_2': 0.06930693069306931}",cluster_0
Barajas,barajas,"{'cluster_0': 0.24817518248175183, 'cluster_1': 0.01824817518248175, 'cluster_2': 0.7335766423357665}",cluster_2
Carabanchel,carabanchel,"{'cluster_0': 0.40594059405940597, 'cluster_1': 0.0297029702970297, 'cluster_2': 0.5643564356435643}",cluster_2
Centro,centro,"{'cluster_0': 0.6923076923076923, 'cluster_1': 0.19230769230769232, 'cluster_2': 0.11538461538461539}",cluster_0
Chamartín,chamartín,"{'cluster_0': 0.6095890410958904, 'cluster_1': 0.10273972602739725, 'cluster_2': 0.2876712328767123}",cluster_0
Chamberí,chamberí,"{'cluster_0': 0.8133333333333334, 'cluster_1': 0.17333333333333334, 'cluster_2': 0.013333333333333334}",cluster_0
Ciudad Lineal,ciudadlineal,"{'cluster_0': 0.6848484848484848, 'cluster_1': 0.048484848484848485, 'cluster_2': 0.26666666666666666}",cluster_0
Fuencarral - El Pardo,fuencarralelpardo,"{'cluster_0': 0.32315112540192925, 'cluster_1': 0.024115755627009645, 'cluster_2': 0.6527331189710611}",cluster_2
Hortaleza,hortaleza,"{'cluster_0': 0.5379746835443038, 'cluster_1': 0.0189873417721519, 'cluster_2': 0.4430379746835443}",cluster_0
Latina,latina,"{'cluster_0': 0.41818181818181815, 'cluster_1': 0.03272727272727273, 'cluster_2': 0.5490909090909091}",cluster_2
Moncloa - Aravaca,moncloaaravaca,"{'cluster_0': 0.1979381443298969, 'cluster_1': 0.01443298969072165, 'cluster_2': 0.7876288659793814}",cluster_2
Moratalaz,moratalaz,"{'cluster_0': 0.7176470588235294, 'cluster_1': 0.047058823529411764, 'cluster_2': 0.23529411764705882}",cluster_0
Puente de Vallecas,puentedevallecas,"{'cluster_0': 0.4563106796116505, 'cluster_1': 0.02912621359223301, 'cluster_2': 0.5145631067961165}",cluster_2
Retiro,retiro,"{'cluster_0': 0.7375, 'cluster_1': 0.1625, 'cluster_2': 0.1}",cluster_0
Salamanca,salamanca,"{'cluster_0': 0.7906976744186046, 'cluster_1': 0.1744186046511628, 'cluster_2': 0.03488372093023256}",cluster_0
San Blas - Canillejas,sanblascanillejas,"{'cluster_0': 0.4426229508196721, 'cluster_1': 0.020491803278688523, 'cluster_2': 0.5368852459016393}",cluster_2
Tetuán,tetuán,"{'cluster_0': 0.5882352941176471, 'cluster_1': 0.18823529411764706, 'cluster_2': 0.2235294117647059}",cluster_0
Usera,usera,"{'cluster_0': 0.5666666666666667, 'cluster_1': 0.03333333333333333, 'cluster_2': 0.4}",cluster_0
Vicálvaro,vicálvaro,"{'cluster_0': 0.23118279569892472, 'cluster_1': 0.005376344086021506, 'cluster_2': 0.7634408602150538}",cluster_2
Villa de Vallecas,villadevallecas,"{'cluster_0': 0.32525951557093424, 'cluster_2': 0.6747404844290658}",cluster_2
Villaverde,villaverde,"{'cluster_0': 0.2816326530612245, 'cluster_1': 0.0163265306122449, 'cluster_2': 0.7020408163265306}",cluster_2
