cell_id,district_name,district_key,lu_2018_class,lu_2018_class_simplified,height_mean,height_max,pt_stop_count,pt_access_good,rent_median_m2_2023,emvs_units_total,cluster_features_ready,cluster_label,cluster_distance_to_centroid
1,Fuencarral-El Pardo,fuencarralelpardo,Pastures,Pastures,5.0,5.0,0,False,77.0,23.0,True,cluster_0,0.0
2,Fuencarral-El Pardo,fuencarralelpardo,Pastures,Pastures,,,0,False,77.0,23.0,False,,
3,Fuencarral-El Pardo,fuencarralelpardo,Pastures,Pastures,,,0,False,77.0,23.0,False,,
6,Fuencarral-El Pardo,fuencarralelpardo,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",5.5,6.0,0,False,77.0,23.0,True,cluster_0,0.0
8,Fuencarral-El Pardo,fuencarralelpardo,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,77.0,23.0,False,,
9,Fuencarral-El Pardo,fuencarralelpardo,Pastures,Pastures,,,0,False,77.0,23.0,False,,
10,Fuencarral-El Pardo,fuencarralelpardo,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,77.0,23.0,False,,
11,Fuencarral-El Pardo,fuencarralelpardo,Pastures,Pastures,,,0,False,77.0,23.0,False,,
12,Fuencarral-El Pardo,fuencarralelpardo,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,77.0,23.0,False,,
19,Fuencarral-El Pardo,fuencarralelpardo,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,77.0,23.0,False,,
20,Fuencarral-El Pardo,fuencarralelpardo,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,77.0,23.0,False,,
21,Fuencarral-El Pardo,fuencarralelpardo,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,77.0,23.0,False,,
22,Fuencarral-El Pardo,fuencarralelpardo,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,77.0,23.0,False,,
23,Fuencarral-El Pardo,fuencarralelpardo,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,77.0,23.0,False,,
24,Fuencarral-El Pardo,fuencarralelpardo,Pastures,Pastures,,,0,False,77.0,23.0,False,,
25,Fuencarral-El Pardo,fuencarralelpardo,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,77.0,23.0,False,,
26,Fuencarral-El Pardo,fuencarralelpardo,Pastures,Pastures,,,0,False,77.0,23.0,False,,
27,Fuencarral-El Pardo,fuencarralelpardo,Pastures,Pastures,,,0,False,77.0,23.0,False,,
28,Fuencarral-El Pardo,fuencarralelpardo,Pastures,Pastures,,,0,False,77.0,23.0,False,,
29,Fuencarral-El Pardo,fuencarralelpardo,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,77.0,23.0,False,,
